system:index,date,id,instrument_mode,lat,lon,look_angle,orbit_number,orbit_pass,platform,polarization,relative_orbit,resolution,slice_number,timestamp,.geo
S1A_IW_GRDH_1SDV_20160201T105754_20160201T105822_009752_00E401_C46E,2016-02-01 10:57:54,S1A_IW_GRDH_1SDV_20160201T105754_20160201T105822_009752_00E401_C46E,IW,22.56278929358191,107.08892283327138,,9752.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1454324274350,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160203T225009_20160203T225038_009788_00E511_AE2C,2016-02-03 22:50:09,S1A_IW_GRDH_1SDV_20160203T225009_20160203T225038_009788_00E511_AE2C,IW,21.923491798382944,106.03548999461091,,9788.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1454539809930,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160203T225009_20160203T225038_009788_00E511_F2C6,2016-02-03 22:50:09,S1A_IW_GRDH_1SDV_20160203T225009_20160203T225038_009788_00E511_F2C6,IW,21.923491822616906,106.03549004151704,,9788.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1454539809930,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160215T225009_20160215T225038_009963_00EA2D_E7E3,2016-02-15 22:50:09,S1A_IW_GRDH_1SDV_20160215T225009_20160215T225038_009963_00EA2D_E7E3,IW,21.923077035244326,106.03557824679001,,9963.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1455576609700,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160225T105754_20160225T105819_010102_00EE39_07F0,2016-02-25 10:57:54,S1A_IW_GRDH_1SDV_20160225T105754_20160225T105819_010102_00EE39_07F0,IW,22.479869764910564,107.08859376192463,,10102.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1456397874020,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160227T225009_20160227T225038_010138_00EF3C_B358,2016-02-27 22:50:09,S1A_IW_GRDH_1SDV_20160227T225009_20160227T225038_010138_00EF3C_B358,IW,21.92337524931478,106.0352099669345,,10138.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1456613409680,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160308T105754_20160308T105819_010277_00F326_56B8,2016-03-08 10:57:54,S1A_IW_GRDH_1SDV_20160308T105754_20160308T105819_010277_00F326_56B8,IW,22.479937316317564,107.0889915579778,,10277.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1457434674000,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160310T225009_20160310T225038_010313_00F43F_2E5E,2016-03-10 22:50:09,S1A_IW_GRDH_1SDV_20160310T225009_20160310T225038_010313_00F43F_2E5E,IW,21.923342254440204,106.03527602139239,,10313.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1457650209660,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160320T105754_20160320T105819_010452_00F81D_CF13,2016-03-20 10:57:54,S1A_IW_GRDH_1SDV_20160320T105754_20160320T105819_010452_00F81D_CF13,IW,22.479823006121098,107.08835013526122,,10452.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1458471474000,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160322T225010_20160322T225039_010488_00F925_EA93,2016-03-22 22:50:10,S1A_IW_GRDH_1SDV_20160322T225010_20160322T225039_010488_00F925_EA93,IW,21.923689629822576,106.03443170048409,,10488.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1458687010090,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160401T105800_20160401T105825_010627_00FD20_E8C6,2016-04-01 10:58:00,S1A_IW_GRDH_1SDV_20160401T105800_20160401T105825_010627_00FD20_E8C6,IW,22.813052889397916,107.02181348724211,,10627.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1459508280430,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160403T224959_20160403T225028_010663_00FE38_DEF8,2016-04-03 22:49:59,S1A_IW_GRDH_1SDV_20160403T224959_20160403T225028_010663_00FE38_DEF8,IW,22.591221276859287,106.1671858716643,,10663.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1459723799000,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160415T224959_20160415T225029_010838_010376_C697,2016-04-15 22:49:59,S1A_IW_GRDH_1SDV_20160415T224959_20160415T225029_010838_010376_C697,IW,22.59122701077449,106.16814310532783,,10838.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1460760599990,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160425T105801_20160425T105826_010977_0107C1_F0DF,2016-04-25 10:58:01,S1A_IW_GRDH_1SDV_20160425T105801_20160425T105826_010977_0107C1_F0DF,IW,22.813065751370363,107.02279033047387,,10977.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1461581881000,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160427T225000_20160427T225029_011013_0108E7_3F0D,2016-04-27 22:50:00,S1A_IW_GRDH_1SDV_20160427T225000_20160427T225029_011013_0108E7_3F0D,IW,22.591357650029618,106.1683540500648,,11013.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1461797400000,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160509T225001_20160509T225030_011188_010E66_87E0,2016-05-09 22:50:01,S1A_IW_GRDH_1SDV_20160509T225001_20160509T225030_011188_010E66_87E0,IW,22.590756260159324,106.16786711869732,,11188.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1462834201160,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160519T105805_20160519T105830_011327_0112EC_9641,2016-05-19 10:58:05,S1A_IW_GRDH_1SDV_20160519T105805_20160519T105830_011327_0112EC_9641,IW,22.97951937630575,106.99050884955241,,11327.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1463655485240,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160521T225001_20160521T225030_011363_011421_E06D,2016-05-21 22:50:01,S1A_IW_GRDH_1SDV_20160521T225001_20160521T225030_011363_011421_E06D,IW,22.591205191107246,106.1678186089461,,11363.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1463871001650,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160531T105806_20160531T105831_011502_0118A0_7577,2016-05-31 10:58:06,S1A_IW_GRDH_1SDV_20160531T105806_20160531T105831_011502_0118A0_7577,IW,22.97953559260052,106.98936803399047,,11502.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1464692286040,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160602T225002_20160602T225031_011538_0119C9_C156,2016-06-02 22:50:02,S1A_IW_GRDH_1SDV_20160602T225002_20160602T225031_011538_0119C9_C156,IW,22.590890336036434,106.16757183041663,,11538.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1464907802360,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160612T105806_20160612T105831_011677_011E1D_2502,2016-06-12 10:58:06,S1A_IW_GRDH_1SDV_20160612T105806_20160612T105831_011677_011E1D_2502,IW,22.979590974566676,106.98908476214308,,11677.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1465729086800,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160614T225003_20160614T225032_011713_011F47_56E3,2016-06-14 22:50:03,S1A_IW_GRDH_1SDV_20160614T225003_20160614T225032_011713_011F47_56E3,IW,22.591091160460646,106.16754277310285,,11713.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1465944603130,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160706T105808_20160706T105833_012027_012942_982F,2016-07-06 10:58:08,S1A_IW_GRDH_1SDV_20160706T105808_20160706T105833_012027_012942_982F,IW,22.979641334576005,106.98974995579238,,12027.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1467802688200,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160708T225004_20160708T225033_012063_012A7D_B6EB,2016-07-08 22:50:04,S1A_IW_GRDH_1SDV_20160708T225004_20160708T225033_012063_012A7D_B6EB,IW,22.590756491526584,106.16781078830617,,12063.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1468018204510,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160718T105808_20160718T105833_012202_012EFB_A2C3,2016-07-18 10:58:08,S1A_IW_GRDH_1SDV_20160718T105808_20160718T105833_012202_012EFB_A2C3,IW,22.979675164518255,106.9903230439155,,12202.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1468839488730,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160720T225005_20160720T225034_012238_013024_3824,2016-07-20 22:50:05,S1A_IW_GRDH_1SDV_20160720T225005_20160720T225034_012238_013024_3824,IW,22.590772004633898,106.1684890980778,,12238.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1469055005060,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160730T105809_20160730T105837_012377_0134B5_FE9B,2016-07-30 10:58:09,S1A_IW_GRDH_1SDV_20160730T105809_20160730T105837_012377_0134B5_FE9B,IW,23.0630285697152,106.98914591448747,,12377.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1469876289450,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160801T225005_20160801T225034_012413_0135F3_FCF0,2016-08-01 22:50:05,S1A_IW_GRDH_1SDV_20160801T225005_20160801T225034_012413_0135F3_FCF0,IW,22.590461456182794,106.16719534221372,,12413.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1470091805960,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160811T105809_20160811T105834_012552_013A8B_EA1C,2016-08-11 10:58:09,S1A_IW_GRDH_1SDV_20160811T105809_20160811T105834_012552_013A8B_EA1C,IW,22.979752681118747,106.9901653725978,,12552.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1470913089950,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160813T225006_20160813T225035_012588_013BB5_A27B,2016-08-13 22:50:06,S1A_IW_GRDH_1SDV_20160813T225006_20160813T225035_012588_013BB5_A27B,IW,22.5906794876919,106.16826463419088,,12588.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1471128606000,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160823T105810_20160823T105839_012727_014058_BF13,2016-08-23 10:58:10,S1A_IW_GRDH_1SDV_20160823T105810_20160823T105839_012727_014058_BF13,IW,23.06250872731422,106.98917243048282,,12727.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1471949890750,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160825T225007_20160825T225036_012763_0141A5_5E15,2016-08-25 22:50:07,S1A_IW_GRDH_1SDV_20160825T225007_20160825T225036_012763_0141A5_5E15,IW,22.590536528736056,106.16824616587627,,12763.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1472165407000,"{""type"":""MultiPoint"",""coordinates"":[]}"
